F,Mod 1,Age Frm,Age Thru,Units,Purchase,_,Rental
E0666,,0,999,Years,69.188,,6.916
E0667,,0,999,Years,218.932,,21.896
E0668,,0,999,Years,279.545,,27.958
E0669,,0,999,Years,106.925,,10.696
E0670,,0,999,Years,714.539,,71.456
E0671,,0,999,Years,255.136,,25.515
E0672,,0,999,Years,211.169,,21.119
E0673,,0,999,Years,164.731,,16.471
E0676,,0,999,Years,0,,
E0700,,0,999,Years,23.772,,
E0705,,0,999,Years,28.672,,
E0710,,0,999,Years,22.26,,2.226
E0720,,0,999,Years,162.757,,16.275
E0730,,0,999,Years,166.166,,16.618
E0731,,0,999,Years,150.717,,15.071
E0740,,0,999,Years,336.728,,
E0745,,0,999,Years,576.443,,57.645
E0747,,0,999,Years,2521.946,,
E0748,,0,999,Years,2505.608,,
E0760,,0,999,Years,2082.115,,
E0762,,0,999,Years,641.158,,64.113
E0764,,0,999,Years,7591.836,,759.185
E0776,,0,999,Years,67.795,,6.783
E0779,,0,999,Years,107.618,,10.759
E0780,,0,999,Years,6.671,,0.665
E0781,,0,999,Years,1474.83,,147.483
E0782,,0,999,Years,2627.457,,
E0783,,0,999,Years,5236.28,,
E0784,,0,999,Years,2732.793,,273.28
E0784,U1,0,999,Years,578.97,,57.897
E0786,,0,999,Years,3899.938,,
E0791,,0,999,Years,1599.332,,159.936
E0840,,0,999,Years,37.177,,3.717
E0850,,0,999,Years,57.75,,5.775
E0855,,0,999,Years,323.379,,32.34
E0856,,0,999,Years,105.665,,
E0860,,0,999,Years,17.374,,1.736
E0880,,0,999,Years,62.895,,6.293
E0900,,0,999,Years,63.315,,6.335
E0910,,0,999,Years,115.731,,11.571
E0911,,0,999,Years,310.779,,31.08
E0912,,0,999,Years,732.879,,73.29
E0920,,0,999,Years,312.018,,31.199
E0930,,0,999,Years,308.924,,30.891
E0935,,0,999,Years,0,,13.867
E0940,,0,999,Years,178.486,,17.85
E0941,,0,999,Years,293.538,,29.351
E0942,,0,999,Years,13.034,,
E0944,,0,999,Years,20.23,,
E0945,,0,999,Years,17.115,,
E0946,,0,999,Years,260.953,,26.096
E0950,,0,999,Years,104.279,,
E0951,,0,999,Years,8.435,,
E0952,,0,999,Years,8.806,,
E0953,,0,999,Years,77.441,,
E0954,,0,999,Years,140.924,,
E0955,,0,999,Years,127.603,,
E0956,,0,999,Years,65.744,,
E0957,,0,999,Years,94.157,,
E0958,,0,999,Years,280.329,,
E0959,,0,999,Years,24.577,,2.457
E0960,,0,999,Years,62.104,,
E0961,,0,999,Years,15.785,,
E0967,,0,999,Years,44.156,,4.417
E0969,,0,20,Years,102.662,,
E0970,,0,999,Years,27.741,,
E0971,,0,999,Years,26.957,,
E0973,,0,999,Years,47.831,,
E0974,,0,999,Years,45.374,,
E0978,,0,999,Years,24.78,,
E0980,,0,999,Years,20.153,,
E0981,,0,999,Years,26.033,,
E0982,,0,999,Years,28.854,,
E0990,,0,999,Years,87.213,,8.722
E0992,,0,999,Years,57.974,,
E0994,,0,999,Years,9.268,,
E0995,,0,999,Years,15.484,,
E1002,,0,999,Years,2562.7,,
E1003,,0,999,Years,2997.68,,
E1004,,0,999,Years,3323.81,,
E1005,,0,999,Years,3002.559,,
E1006,,0,999,Years,4406.92,,
E1007,,0,999,Years,5502.714,,
E1008,,0,999,Years,5517.281,,
E1009,,0,999,Years,0,,
E1010,,0,999,Years,1116.731,,
E1011,,0,999,Years,0,,
E1012,,0,999,Years,648.305,,
E1014,,0,999,Years,223.909,,
E1015,,0,999,Years,70.917,,
E1016,,0,999,Years,80.451,,
E1017,,0,999,Years,0,,
E1018,,0,999,Years,0,,
E1020,,0,999,Years,143.269,,14.329
E1028,,0,999,Years,115.661,,
E1029,,0,999,Years,228.298,,
E1031,,0,999,Years,0,,24.269
E1035,TF,0,20,Years,0,,
E1035,TG,0,20,Years,0,,
E1050,,0,999,Years,512.197,,51.219
E1060,,0,999,Years,748.93,,74.893
E1070,,0,999,Years,589.456,,58.947
E1083,,0,999,Years,342.755,,34.272
E1084,,0,999,Years,539.49,,53.949
E1085,,0,999,Years,398.671,,39.865
E1086,,0,999,Years,518.042,,51.807
E1087,,0,999,Years,766.633,,76.664
E1088,,0,999,Years,802.935,,80.297
E1089,,0,999,Years,802.291,,80.227
E1090,,0,999,Years,852.033,,85.204
E1092,,0,999,Years,736.771,,73.675
E1093,,0,999,Years,747.362,,74.739
E1100,,0,999,Years,701.96,,70.196
E1110,,0,999,Years,687.407,,68.74
E1130,,0,999,Years,242.41,,24.241
E1140,,0,999,Years,287.854,,28.784
E1150,,0,999,Years,417.739,,41.776
E1160,,0,999,Years,356.517,,35.651
E1161,,0,999,Years,1695.946,,169.596
E1170,,0,999,Years,643.328,,64.33
E1171,,0,999,Years,577.339,,57.736
E1172,,0,999,Years,545.678,,54.565
E1180,,0,999,Years,645.792,,64.582
E1190,,0,999,Years,720.188,,72.016
E1195,,0,999,Years,685.923,,68.593
E1200,,0,999,Years,485.023,,48.503
E1220,,0,999,Years,0,,
E1225,,0,999,Years,273.469,,27.349
E1226,,0,999,Years,337.344,,33.733
E1229,,0,999,Years,0,,
E1230,,0,999,Years,947.674,,94.766
E1231,,0,999,Years,0,,
E1232,,0,999,Years,1532.755,,153.279
E1233,,0,999,Years,1588.174,,158.816
E1234,,0,999,Years,1382.619,,138.264
E1235,,0,999,Years,1876.238,,187.621
E1236,,0,999,Years,1655.199,,165.522
E1237,,0,999,Years,1007.58,,100.758
E1238,,0,999,Years,1119.531,,111.951
E1239,,0,999,Years,0,,
E1240,,0,999,Years,534.975,,53.501
E1250,,0,999,Years,303.009,,30.303
E1260,,0,999,Years,543.949,,54.397
E1270,,0,999,Years,533.813,,53.382
E1280,,0,999,Years,752.5,,75.25
E1285,,0,999,Years,699.762,,69.979
E1290,,0,999,Years,896.056,,89.607
E1295,,0,999,Years,779.52,,77.952
E1296,,0,999,Years,269.143,,
E1297,,0,999,Years,57.267,,
E1298,,0,999,Years,231.903,,
E1353,,0,999,Years,19.159,,
E1355,,0,999,Years,14.427,,1.442
E1372,,0,999,Years,110.404,,
E1390,,0,999,Years,0,,104.132
E1399,,0,999,Years,0,,
E1510,,0,20,Years,6950.083,,695.009
E1520,,0,20,Years,238.217,,23.821
E1530,,0,20,Years,342.769,,
E1540,,0,20,Years,15.75,,
E1550,,0,20,Years,191.856,,19.187
E1560,,0,20,Years,0,,
E1570,,0,20,Years,389.396,,38.941
E1575,,0,20,Years,1.267,,0.126
E1580,,0,20,Years,0,,
E1590,,0,20,Years,0,,198.94
E1592,,0,20,Years,0,,
E1594,,0,20,Years,4214.336,,421.435
E1600,,0,20,Years,0,,25.025
E1620,,0,20,Years,1203.755,,120.379
E1630,,0,20,Years,0,,
E1632,,0,20,Years,0,,
E1635,,0,20,Years,0,,431.41
E1699,,0,20,Years,0,,
E1700,,0,20,Years,0,,19.439
E1701,,0,20,Years,0,,0.742
E1702,,0,20,Years,0,,1.414
E1841,,0,999,Years,2574.915,,257.495
E2100,,0,999,Years,218.96,,
E2101,,0,999,Years,121.436,,
E2201,,0,999,Years,254.695,,
E2202,,0,999,Years,323.561,,
E2203,,0,999,Years,302.337,,
E2204,,0,999,Years,455.735,,
E2205,,0,999,Years,23.415,,
E2206,,0,999,Years,29.155,,
E2207,,0,999,Years,29.575,,2.961
E2208,,0,999,Years,73.906,,7.392
E2209,,0,999,Years,73.157,,7.315
E2210,,0,999,Years,4.473,,
E2211,,0,999,Years,19.957,,
E2212,,0,999,Years,4.011,,
E2213,,0,999,Years,19.957,,
E2214,,0,999,Years,20.888,,
