STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR,LOCATION
ME,4285,202601,RURAL
ME,4286,202601,RURAL
ME,4289,202601,RURAL
ME,4290,202601,RURAL
ME,4292,202601,RURAL
ME,4294,202601,RURAL
ME,4330,202601,RURAL
ME,4332,202601,RURAL
ME,4333,202601,RURAL
ME,4336,202601,RURAL
ME,4338,202601,RURAL
ME,4341,202601,RURAL
ME,4342,202601,RURAL
ME,4343,202601,RURAL
ME,4344,202601,RURAL
ME,4345,202601,RURAL
ME,4346,202601,RURAL
ME,4347,202601,RURAL
ME,4348,202601,RURAL
ME,4349,202601,RURAL
ME,4350,202601,RURAL
ME,4351,202601,RURAL
ME,4352,202601,RURAL
ME,4353,202601,RURAL
ME,4354,202601,RURAL
ME,4355,202601,RURAL
ME,4358,202601,RURAL
ME,4359,202601,RURAL
ME,4360,202601,RURAL
ME,4363,202601,RURAL
ME,4364,202601,RURAL
ME,4406,202601,RURAL
ME,4408,202601,RURAL
ME,4413,202601,RURAL
ME,4414,202601,RURAL
ME,4415,202601,RURAL
ME,4416,202601,RURAL
ME,4420,202601,RURAL
ME,4421,202601,RURAL
ME,4424,202601,RURAL
ME,4426,202601,RURAL
ME,4431,202601,RURAL
ME,4438,202601,RURAL
ME,4441,202601,RURAL
ME,4442,202601,RURAL
ME,4443,202601,RURAL
ME,4451,202601,RURAL
ME,4454,202601,RURAL
ME,4462,202601,RURAL
ME,4463,202601,RURAL
ME,4464,202601,RURAL
ME,4471,202601,RURAL
ME,4472,202601,RURAL
ME,4476,202601,RURAL
ME,4478,202601,RURAL
ME,4479,202601,RURAL
ME,4481,202601,RURAL
ME,4485,202601,RURAL
ME,4490,202601,RURAL
ME,4491,202601,RURAL
ME,4492,202601,RURAL
ME,4496,202601,RURAL
ME,4497,202601,RURAL
ME,4535,202601,RURAL
ME,4537,202601,RURAL
ME,4538,202601,RURAL
ME,4539,202601,RURAL
ME,4541,202601,RURAL
ME,4543,202601,RURAL
ME,4544,202601,RURAL
ME,4547,202601,RURAL
ME,4549,202601,RURAL
ME,4551,202601,RURAL
ME,4553,202601,RURAL
ME,4554,202601,RURAL
ME,4555,202601,RURAL
ME,4556,202601,RURAL
ME,4558,202601,RURAL
ME,4563,202601,RURAL
ME,4564,202601,RURAL
ME,4568,202601,RURAL
ME,4570,202601,RURAL
ME,4571,202601,RURAL
ME,4572,202601,RURAL
ME,4573,202601,RURAL
ME,4574,202601,RURAL
ME,4575,202601,RURAL
ME,4576,202601,RURAL
ME,4578,202601,RURAL
ME,4605,202601,RURAL
ME,4606,202601,RURAL
ME,4607,202601,RURAL
ME,4609,202601,RURAL
ME,4611,202601,RURAL
ME,4612,202601,RURAL
ME,4613,202601,RURAL
ME,4614,202601,RURAL
ME,4616,202601,RURAL
ME,4617,202601,RURAL
ME,4619,202601,RURAL
ME,4622,202601,RURAL
ME,4623,202601,RURAL
ME,4624,202601,RURAL
ME,4625,202601,RURAL
ME,4626,202601,RURAL
ME,4627,202601,RURAL
ME,4628,202601,RURAL
ME,4629,202601,RURAL
ME,4630,202601,RURAL
ME,4631,202601,RURAL
ME,4634,202601,RURAL
ME,4635,202601,RURAL
ME,4637,202601,RURAL
ME,4640,202601,RURAL
ME,4642,202601,RURAL
ME,4643,202601,RURAL
ME,4644,202601,RURAL
ME,4645,202601,RURAL
ME,4646,202601,RURAL
ME,4648,202601,RURAL
ME,4649,202601,RURAL
ME,4650,202601,RURAL
ME,4652,202601,RURAL
ME,4653,202601,RURAL
ME,4654,202601,RURAL
ME,4655,202601,RURAL
ME,4657,202601,RURAL
ME,4658,202601,RURAL
ME,4660,202601,RURAL
ME,4662,202601,RURAL
ME,4664,202601,RURAL
ME,4666,202601,RURAL
ME,4667,202601,RURAL
ME,4668,202601,RURAL
ME,4669,202601,RURAL
ME,4671,202601,RURAL
ME,4672,202601,RURAL
ME,4673,202601,RURAL
ME,4674,202601,RURAL
ME,4675,202601,RURAL
ME,4676,202601,RURAL
ME,4677,202601,RURAL
ME,4679,202601,RURAL
ME,4680,202601,RURAL
ME,4681,202601,RURAL
ME,4683,202601,RURAL
ME,4684,202601,RURAL
ME,4685,202601,RURAL
ME,4686,202601,RURAL
ME,4691,202601,RURAL
ME,4693,202601,RURAL
ME,4694,202601,RURAL
ME,4730,202601,RURAL
ME,4732,202601,RURAL
ME,4733,202601,RURAL
ME,4734,202601,RURAL
ME,4735,202601,RURAL
ME,4736,202601,RURAL
ME,4737,202601,RURAL
ME,4738,202601,RURAL
ME,4739,202601,RURAL
ME,4740,202601,RURAL
ME,4741,202601,RURAL
ME,4742,202601,RURAL
ME,4743,202601,RURAL
ME,4744,202601,RURAL
ME,4745,202601,RURAL
ME,4746,202601,RURAL
ME,4747,202601,RURAL
ME,4750,202601,RURAL
ME,4751,202601,RURAL
ME,4756,202601,RURAL
ME,4757,202601,RURAL
ME,4758,202601,RURAL
ME,4760,202601,RURAL
ME,4761,202601,RURAL
ME,4762,202601,RURAL
