HCPCS,Mod,From,Through,Purchase Fee,Fee Effective Date,Note Code,2,Rental Fee,Fee Effective Date,Note Code
E1816,,0,20,"$1,335.15 ",4/1/2013,6,,$133.52 ,4/1/2015,,
E1818,,0,20,"$1,363.08 ",4/1/2013,6,,$136.31 ,4/1/2015,,
E1820,,0,20,$69.78 ,4/1/2013,6,,$6.98 ,4/1/2015,6,
E1821,,0,20,$108.30 ,4/1/2013,6,,,,,
E1822,,0,20,"$1,467.28 ",1/1/2025,,,$146.73 ,1/1/2025,,
E1823,,0,20,"$1,467.28 ",1/1/2025,,,$146.73 ,1/1/2025,,
E1825,,0,20,"$1,037.39 ",4/1/2013,6,,$103.74 ,4/1/2013,6,
E1826,,0,20,"$1,463.09 ",1/1/2025,,,$146.31 ,1/1/2025,,
E1827,,0,20,"$1,463.09 ",1/1/2025,,,$146.31 ,1/1/2025,,
E1828,,0,20,"$1,463.09 ",1/1/2025,,,$146.31 ,1/1/2025,,
E1829,,0,20,"$1,463.09 ",1/1/2025,,,$146.31 ,1/1/2025,,
E1830,,0,20,"$1,037.39 ",4/1/2013,6,,$103.74 ,4/1/2013,6,
E1840,,0,20,"$3,697.02 ",4/1/2013,6,,$369.70 ,4/1/2013,6,
E1841,,0,999,"$3,678.45 ",7/1/2013,,,$367.85 ,4/1/2015,,
E2100,,0,999,$312.80 ,4/1/2013,HP,,,,,
E2101,,0,999,$173.48 ,4/1/2013,,,,,,
E2102,,0,999,$223.23 ,1/1/2023,,,,,,
E2103,,0,999,$231.96 ,1/1/2023,,,,,,
E2103,KF,0,999,$257.50 ,1/1/2023,,,,,,
E2201,,0,999,$363.85 ,3/1/2012,,,,,,
E2202,,0,999,$462.23 ,4/1/2013,,,,,,
E2203,,0,999,$431.91 ,4/1/2013,,,,,,
E2204,,0,999,$651.05 ,3/1/2012,,,,,,
E2205,,0,999,$33.45 ,3/1/2012,,,,,,
E2206,,0,999,$41.65 ,3/1/2012,,,,,,
E2207,,0,999,$42.25 ,4/1/2013,,,$4.23 ,3/1/2012,,
E2208,,0,999,$105.58 ,4/1/2017,,,$10.56 ,4/1/2017,,
E2209,,0,999,$104.51 ,3/1/2012,,,$10.45 ,1/1/2016,,
E2210,,0,999,$6.39 ,3/1/2012,,,,,,
E2211,,0,999,$28.51 ,3/1/2012,,,,,,
E2212,,0,999,$5.73 ,3/1/2012,,,,,,
E2213,,0,999,$28.51 ,3/1/2012,,,,,,
E2214,,0,999,$29.84 ,3/1/2012,,,,,,
E2215,,0,999,$8.41 ,4/1/2017,,,,,,
E2216,,0,999,$0.00 ,1/1/2016,5,,,,,
E2217,,0,999,$0.00 ,1/1/2016,5,,,,,
E2218,,0,999,$38.00 ,4/1/2019,,,,,,
E2219,,0,999,$32.07 ,3/1/2012,,,,,,
E2220,,0,999,$23.64 ,3/1/2012,,,,,,
E2221,,0,999,$24.92 ,3/1/2012,,,,,,
E2222,,0,999,$18.54 ,4/1/2017,,,,,,
E2224,,0,999,$78.37 ,4/1/2017,,,,,,
E2225,,0,999,$16.36 ,4/1/2017,,,,,,
E2226,,0,999,$34.90 ,4/1/2017,,,,,,
E2227,,0,999,"$1,530.22 ",3/1/2012,,,,,,
E2228,,0,999,$913.04 ,3/1/2012,,,,,,
E2291,,0,999,$0.00 ,1/1/2005,5,,,,,
E2292,,0,999,$0.00 ,1/1/2005,5,,,,,
E2293,,0,999,$0.00 ,1/1/2005,5,,,,,
E2294,,0,999,$0.00 ,1/1/2005,5,,,,,
E2298,,0,999,"$2,000.30 ",3/1/2025,,,$200.03 ,3/1/2025,,
E2310,,0,999,"$1,141.22 ",3/1/2012,,,,,,
E2311,,0,999,"$2,136.07 ",3/1/2012,,,,,,
E2312,,0,999,"$1,891.09 ",3/1/2012,,,$189.11 ,4/1/2013,,
E2312,KC,0,999,"$2,411.85 ",3/1/2012,,,$241.19 ,4/1/2013,,
E2313,,0,999,$300.29 ,4/1/2013,,,,,,
E2321,,0,999,"$1,719.28 ",3/1/2012,,,,,,
E2321,KC,0,999,"$1,819.09 ",4/1/2019,,,,,,
E2323,,0,999,$63.04 ,3/1/2012,,,,,,
E2324,,0,999,$43.39 ,3/1/2012,,,,,,
E2325,,0,999,"$1,313.43 ",4/1/2013,,,,,,
E2326,,0,999,$311.67 ,3/1/2012,,,,,,
E2327,,0,999,"$2,248.95 ",3/1/2012,,,,,,
E2328,,0,999,"$3,781.16 ",3/1/2012,,,,,,
E2329,,0,999,"$2,181.89 ",3/1/2012,,,,,,
E2330,,0,999,"$3,250.60 ",4/1/2013,,,,,,
E2340,,0,999,$306.43 ,4/1/2013,,,,,,
E2341,,0,999,$451.49 ,3/1/2012,,,,,,
E2342,,0,999,$436.92 ,3/1/2012,,,,,,
E2343,,0,999,$733.96 ,4/1/2013,,,,,,
E2351,,0,999,$681.30 ,3/1/2012,,,,,,
E2359,,0,999,$171.07 ,4/1/2017,,,,,,
E2361,,0,999,$151.41 ,3/1/2012,,,,,,
E2363,,0,999,$196.79 ,3/1/2012,,,,,,
E2366,,0,999,$237.68 ,3/1/2012,,,,,,
E2368,,0,999,$455.91 ,3/1/2012,,,,,,
E2369,,0,999,$397.10 ,3/1/2012,,,,,,
E2370,,0,999,$854.42 ,3/1/2012,,,,,,
E2371,,0,999,$167.31 ,1/1/2016,,,,,,
E2373,,0,999,"$1,179.92 ",4/1/2013,,,,,,
E2373,KC,0,999,"$1,067.83 ",3/1/2012,,,,,,
E2374,,0,999,$520.78 ,3/1/2012,,,,,,
E2375,,0,999,$835.33 ,4/1/2013,,,,,,
E2376,,0,999,"$1,259.56 ",3/1/2012,,,,,,
E2377,,0,999,$473.66 ,3/1/2012,,,,,,
E2378,,0,999,$511.76 ,4/1/2017,,,$51.18 ,4/1/2017,,
E2381,,0,999,$57.47 ,3/1/2012,,,,,,
E2382,,0,999,$20.26 ,3/1/2012,,,,,,
E2383,,0,999,$113.88 ,3/1/2012,,,,,,
E2384,,0,999,$60.67 ,3/1/2012,,,,,,
E2385,,0,999,$48.27 ,3/1/2012,,,,,,
E2386,,0,999,$121.69 ,4/1/2017,,,,,,
E2387,,0,999,$58.55 ,3/1/2012,,,,,,
E2388,,0,999,$49.14 ,3/1/2012,,,,,,
E2389,,0,999,$26.68 ,3/1/2012,,,,,,
E2390,,0,999,$41.73 ,3/1/2012,,,,,,
E2391,,0,999,$19.99 ,3/1/2012,,,,,,
E2392,,0,999,$52.54 ,3/1/2012,,,,,,
E2394,,0,999,$74.85 ,3/1/2012,,,,,,
E2395,,0,999,$53.20 ,3/1/2012,,,,,,
E2396,,0,999,$44.74 ,3/1/2012,,,,,,
E2398,,0,999,$74.03 ,1/1/2020,,,,,,
E2500,,0,999,$344.20 ,4/1/2013,,,$34.42 ,4/1/2013,,
E2502,,0,999,"$1,155.14 ",4/1/2013,,,$115.51 ,4/1/2015,,
E2504,,0,999,"$1,545.87 ",4/1/2013,,,$154.59 ,4/1/2015,,
E2506,,0,999,"$2,127.92 ",4/1/2013,,,$212.79 ,4/1/2013,,
E2508,,0,999,"$3,290.48 ",4/1/2013,,,$329.05 ,4/1/2015,,
E2510,,0,999,"$6,226.79 ",4/1/2013,,,$622.68 ,4/1/2015,,
E2511,,0,999,$408.29 ,4/1/2019,,,,,,
E2512,,0,999,$0.00 ,7/1/2004,5,,$116.28 ,4/1/2017,,
E2599,,0,999,$0.00 ,7/1/2004,5,,$0.00 ,7/1/2004,5,
E2599,U1,0,999,$246.01 ,4/1/2019,,,,,,
E2601,,0,999,$53.98 ,3/1/2012,,,,,,
E2602,,0,999,$0.00 ,1/1/2005,5,,,,,
E2603,,0,999,$0.00 ,1/1/2005,5,,,,,
E2604,,0,999,$0.00 ,1/1/2005,5,,,,,
E2605,,0,999,$0.00 ,1/1/2005,5,,,,,
E2606,,0,999,$0.00 ,1/1/2005,5,,,,,
E2607,,0,999,$0.00 ,1/1/2005,5,,,,,
E2608,,0,999,$0.00 ,1/1/2005,5,,,,,
E2609,,0,999,$0.00 ,1/1/2005,5,,,,,
E2611,,0,999,$0.00 ,1/1/2005,5,,,,,
E2612,,0,999,$0.00 ,1/1/2005,5,,,,,
E2613,,0,999,$0.00 ,1/1/2005,5,,,,,
E2614,,0,999,$0.00 ,1/1/2005,5,,,,,
E2615,,0,999,$0.00 ,1/1/2005,5,,,,,
E2616,,0,999,$0.00 ,1/1/2005,5,,,,,
E2617,,0,999,$0.00 ,1/1/2005,5,,,,,
E2619,,0,999,$0.00 ,1/1/2005,5,,,,,
E2620,,0,999,$0.00 ,1/1/2005,5,,,,,
E2621,,0,999,$507.26 ,3/1/2012,,,,,,
E2622,,0,999,$323.25 ,3/1/2012,,,,,,
E2623,,0,999,$411.32 ,3/1/2012,,,,,,
E2624,,0,999,$325.89 ,4/1/2013,,,,,,
E2625,,0,999,$374.84 ,4/1/2017,,,,,,
E2626,,0,20,$567.09 ,4/1/2017,6,,,,,
E2627,,0,20,$839.65 ,4/1/2017,6,,,,,
E2628,,0,20,$714.04 ,4/1/2017,6,,,,,
E2629,,0,20,$945.56 ,4/1/2017,6,,,,,
E2630,,0,20,$572.95 ,4/1/2017,6,,,,,
E2631,,0,20,$245.90 ,4/1/2017,6,,,,,
E2632,,0,20,$155.69 ,4/1/2017,6,,,,,
E2633,,0,20,$129.10 ,4/1/2017,6,,,,,
E8001,,0,999,$0.00 ,1/1/2005,5,,$0.00 ,1/1/2005,5,
K0001,,0,999,$432.52 ,7/1/2013,,,$43.25 ,7/1/2013,,
K0002,,0,999,$664.42 ,7/1/2013,,,$66.44 ,7/1/2013,,
K0003,,0,999,$727.58 ,7/1/2013,,,$69.95 ,1/1/2020,,
K0004,,0,999,"$1,085.18 ",7/1/2013,,,$108.52 ,7/1/2013,,
K0005,,0,999,"$2,001.69 ",7/1/2013,,,$200.15 ,7/1/2013,,
K0006,,0,999,"$1,018.42 ",7/1/2013,,,$101.84 ,7/1/2013,,
K0007,,0,999,"$1,449.45 ",7/1/2013,,,$144.94 ,7/1/2013,,
K0008,,0,999,$0.00 ,6/1/2022,5,,$0.00 ,6/1/2022,5,
K0009,,0,999,$0.00 ,6/1/2022,5,,$0.00 ,6/1/2022,5,
K0010,,0,999,"$3,331.23 ",1/1/2020,,,$333.12 ,1/1/2020,,
K0011,,0,999,"$4,712.98 ",1/1/2020,,,$471.30 ,1/1/2020,,
K0012,,0,999,"$3,076.01 ",1/1/2020,,,$307.60 ,1/1/2020,,
K0013,,0,20,$0.00 ,4/1/2014,5,,$0.00 ,4/1/2014,5,
K0015,,0,999,$196.73 ,7/1/2013,,,,,,
K0017,,0,999,$48.39 ,1/1/2020,,,,,,
K0018,,0,999,$27.19 ,1/1/2020,,,,,,
K0019,,0,999,$15.08 ,1/1/2020,,,,,,
K0020,,0,999,$45.62 ,1/1/2020,,,,,,
K0037,,0,999,$45.57 ,1/1/2020,,,,,,
K0038,,0,999,$23.56 ,1/1/2020,,,,,,
K0039,,0,999,$51.45 ,1/1/2020,,,,,,
K0040,,0,999,$64.51 ,1/1/2020,,,,,,
K0041,,0,999,$49.88 ,1/1/2020,,,,,,
K0042,,0,999,$33.25 ,1/1/2020,,,,,,
K0043,,0,999,$19.05 ,1/1/2020,,,,,,
K0044,,0,999,$16.41 ,1/1/2020,,,,,,
K0045,,0,999,$54.90 ,1/1/2020,,,,,,
K0046,,0,999,$19.11 ,1/1/2020,,,$1.91 ,1/1/2020,,
K0047,,0,999,$71.26 ,1/1/2020,,,$7.13 ,1/1/2020,,
K0050,,0,999,$31.58 ,1/1/2020,,,,,,
K0051,,0,999,$50.55 ,1/1/2020,,,,,,
K0052,,0,999,$83.04 ,1/1/2020,,,,,,
K0053,,0,999,$94.86 ,1/1/2020,,,$9.48 ,1/1/2020,,
K0056,,0,999,$77.23 ,7/1/2013,,,,,,
K0065,,0,999,$36.10 ,7/1/2013,,,$3.61 ,4/1/2014,,
K0069,,0,999,$81.15 ,7/1/2013,,,,,,
K0070,,0,999,$148.73 ,7/1/2013,,,,,,
K0071,,0,999,$88.72 ,7/1/2013,,,,,,
K0072,,0,999,$53.41 ,7/1/2013,,,,,,
K0073,,0,999,$27.17 ,7/1/2013,,,,,,
K0077,,0,999,$47.79 ,7/1/2013,,,,,,
K0098,,0,999,$25.70 ,1/1/2020,,,,,,
K0105,,0,999,$80.74 ,7/1/2013,,,$8.07 ,4/1/2014,,
K0108,,0,999,$0.00 ,5/1/2003,5,,,,,
K0195,,0,999,$147.53 ,7/1/2013,,,$14.75 ,4/1/2014,,
K0669,,0,999,$73.55 ,7/1/2013,,,,,,
K0730,,0,999,"$1,586.10 ",1/1/2020,,,,,,
K0733,,0,999,$29.46 ,3/1/2012,,,,,,
K0800,,0,999,"$1,082.89 ",1/1/2020,,,$108.30 ,1/1/2020,,
K0801,,0,999,"$1,841.43 ",1/1/2020,,,$184.14 ,1/1/2020,,
K0802,,0,999,"$2,246.11 ",1/1/2020,,,$224.61 ,1/1/2020,,
K0813,,0,999,"$2,352.57 ",3/1/2012,,,$235.26 ,3/1/2012,,
K0814,,0,999,"$3,011.23 ",3/1/2012,,,$301.12 ,3/1/2012,,
K0815,,0,999,"$3,429.01 ",3/1/2012,,,$342.91 ,3/1/2012,,
K0816,,0,999,"$3,283.99 ",3/1/2012,,,$328.39 ,3/1/2012,,
K0820,,0,999,"$2,512.88 ",3/1/2012,,,$251.27 ,3/1/2012,,
K0821,,0,999,"$3,157.20 ",3/1/2012,,,$315.72 ,3/1/2012,,
K0822,,0,999,"$2,963.22 ",1/1/2020,,,$296.32 ,1/1/2020,,
K0823,,0,999,"$2,904.46 ",1/1/2020,,,$290.45 ,1/1/2020,,
K0824,,0,999,"$4,009.76 ",3/1/2012,,,$400.98 ,1/1/2020,,
K0825,,0,999,"$3,512.60 ",1/1/2020,,,$351.26 ,1/1/2020,,
K0826,,0,999,"$6,143.91 ",3/1/2012,,,$614.39 ,1/1/2020,,
K0827,,0,999,"$5,198.70 ",3/1/2012,,,$519.87 ,3/1/2012,,
K0828,,0,999,"$6,736.87 ",3/1/2012,,,$673.68 ,3/1/2012,,
K0829,,0,999,"$6,186.37 ",3/1/2012,,,$618.64 ,3/1/2012,,
K0835,,0,999,"$4,029.82 ",3/1/2012,,,$402.98 ,3/1/2012,,
K0836,,0,999,"$4,103.15 ",3/1/2012,,,$410.32 ,3/1/2012,,
K0837,,0,999,"$4,722.60 ",3/1/2012,,,$472.26 ,3/1/2012,,
K0838,,0,999,"$4,263.77 ",3/1/2012,,,$426.37 ,3/1/2012,,
K0839,,0,999,"$6,113.83 ",3/1/2012,,,$611.39 ,3/1/2012,,
K0840,,0,999,"$9,262.75 ",3/1/2012,,,$926.27 ,3/1/2012,,
K0841,,0,999,"$4,211.50 ",3/1/2012,,,$421.15 ,3/1/2012,,
K0842,,0,999,"$4,211.50 ",3/1/2012,,,$421.15 ,3/1/2012,,
K0843,,0,999,"$5,070.65 ",3/1/2012,,,$507.06 ,3/1/2012,,
K0848,,0,999,"$5,113.10 ",1/1/2020,,,$511.31 ,1/1/2020,,
K0849,,0,999,"$4,954.69 ",3/1/2012,,,$495.47 ,3/1/2012,,
K0850,,0,999,"$5,987.63 ",3/1/2012,,,$598.76 ,3/1/2012,,
K0851,,0,999,"$5,702.58 ",1/1/2020,,,$570.26 ,1/1/2020,,
K0852,,0,999,"$6,906.95 ",3/1/2012,,,$690.70 ,3/1/2012,,
K0853,,0,999,"$7,095.16 ",3/1/2012,,,$709.52 ,3/1/2012,,
K0854,,0,999,"$9,399.56 ",3/1/2012,,,$939.96 ,3/1/2012,,
K0855,,0,999,"$8,879.29 ",3/1/2012,,,$887.93 ,3/1/2012,,
K0856,,0,999,"$5,558.85 ",3/1/2012,,,$555.89 ,1/1/2020,,
K0857,,0,999,"$5,642.51 ",3/1/2012,,,$564.25 ,3/1/2012,,
K0858,,0,999,"$6,863.07 ",3/1/2012,,,$686.31 ,3/1/2012,,
K0859,,0,999,"$6,494.02 ",1/1/2020,,,$649.40 ,1/1/2020,,
K0860,,0,999,"$9,804.76 ",3/1/2012,,,$980.48 ,3/1/2012,,
K0861,,0,999,"$5,496.99 ",1/1/2020,,,$549.70 ,1/1/2020,,
K0862,,0,999,"$6,863.07 ",3/1/2012,,,$686.31 ,3/1/2012,,
K0863,,0,999,"$9,804.76 ",3/1/2012,,,$980.48 ,3/1/2012,,
K0864,,0,999,"$11,667.78 ",3/1/2012,,,"$1,166.77 ",3/1/2012,,
K0868,,0,999,$0.00 ,12/1/2006,5,,$0.00 ,3/1/2012,5,
K0869,,0,999,$0.00 ,10/1/2009,5,,$325.88 ,9/1/2022,,
K0870,,0,999,$0.00 ,10/1/2009,5,,$0.00 ,10/1/2009,5,
K0871,,0,999,$0.00 ,10/1/2009,5,,$0.00 ,10/1/2009,5,
K0877,,0,999,$0.00 ,3/1/2012,5,,$325.88 ,9/1/2022,,
K0878,,0,999,$0.00 ,10/1/2009,5,,$0.00 ,10/1/2009,5,
K0879,,0,999,$0.00 ,3/1/2012,5,,$529.74 ,3/1/2012,,
K0880,,0,999,$0.00 ,10/1/2009,5,,$824.92 ,3/1/2012,,
K0884,,0,999,$0.00 ,3/1/2012,5,,$0.00 ,3/1/2012,5,
K0885,,0,999,"$5,889.23 ",3/1/2012,,,$588.93 ,3/1/2012,,
K0886,,0,999,$0.00 ,10/1/2009,5,,$543.92 ,3/1/2012,,
K0890,,0,999,"$8,461.70 ",1/1/2020,,,$846.17 ,1/1/2020,,
K0891,,0,999,"$10,981.85 ",3/1/2012,,,"$1,098.19 ",1/1/2020,,
K0898,,0,999,$0.00 ,10/1/2009,5,,$0.00 ,10/1/2009,5,
K0899,,0,999,$0.00 ,10/1/2009,5,,$0.00 ,10/1/2009,5,
K0900,,0,999,$0.00 ,4/1/2014,5,,$0.00 ,4/1/2014,5,
K1030,,1,999,"$1,374.86 ",9/1/2022,,,,,,
L1320,,0,20,"$3,785.98 ",3/1/2025,,,,,,
L3161,,0,20,$76.91 ,1/1/2024,,,,,,
L8614,,1,999,"$19,316.01 ",3/1/2021,,,,,,
L8625,,0,999,$184.65 ,4/1/2019,,,,,,
L8681,,0,999,$926.72 ,1/1/2008,,,,,,
L8682,,0,999,"$5,178.47 ",1/1/2008,,,,,,
L8683,,0,999,"$4,558.23 ",1/1/2008,,,,,,
L8684,,0,999,$670.64 ,1/1/2008,,,,,,
L8685,,0,999,"$11,894.56 ",3/1/2021,,,,,,
L8686,,0,999,"$6,885.47 ",10/1/2016,,,,,,
L8686,TG,0,999,"$16,249.63 ",3/1/2023,,,,,,
L8687,,0,999,"$14,096.73 ",3/1/2021,,,,,,
L8688,,0,999,"$9,831.68 ",3/1/2021,,,,,,
L8689,,0,999,"$1,498.34 ",1/1/2008,,,,,,
L8690,,5,999,"$4,338.80 ",7/1/2010,,,,,,
L8691,,5,999,"$1,683.65 ",10/1/2018,,,,,,
L8692,,0,999,"$3,080.41 ",3/1/2021,,,,,,
L8693,,5,999,"$1,414.77 ",10/1/2012,,,,,,
L8694,,5,999,$923.29 ,4/1/2019,,,,,,
L8695,,0,999,$11.86 ,10/1/2014,,,,,,
Q0477,,0,20,$379.25 ,4/1/2019,6,,,,,
Q0480,,0,20,"$77,927.47 ",1/1/2016,6,,,,,
Q0481,,0,20,"$12,572.70 ",1/1/2016,6,,,,,
Q0482,,0,20,"$3,938.00 ",1/1/2016,6,,,,,
Q0483,,0,20,"$17,280.81 ",1/1/2016,6,,,,,
Q0484,,0,20,"$3,355.87 ",1/1/2016,6,,,,,
Q0485,,0,20,$324.02 ,1/1/2016,6,,,,,
Q0486,,0,20,$269.66 ,1/1/2016,6,,,,,
Q0487,,0,20,$314.62 ,1/1/2016,6,,,,,
Q0488,,0,20,"$12,054.00 ",1/1/2016,6,,,,,
Q0489,,0,20,"$14,064.31 ",1/1/2016,6,,,,,
Q0490,,0,20,$648.04 ,1/1/2016,6,,,,,
Q0491,,0,20,"$1,018.76 ",1/1/2016,6,,,,,
Q0492,,0,20,$82.09 ,1/1/2016,6,,,,,
Q0493,,0,20,$233.68 ,1/1/2016,6,,,,,
Q0494,,0,20,$197.73 ,1/1/2016,6,,,,,
Q0495,,0,20,"$3,614.17 ",1/1/2016,6,,,,,
Q0496,,0,20,"$1,297.16 ",1/1/2016,6,,,,,
Q0497,,0,20,$405.04 ,1/1/2016,6,,,,,
Q0498,,0,20,$473.40 ,1/1/2016,6,,,,,
Q0499,,0,20,$153.82 ,1/1/2016,6,,,,,
Q0500,,0,20,$26.42 ,1/1/2016,6,,,,,
Q0501,,0,20,$441.89 ,1/1/2016,6,,,,,
Q0502,,0,20,$599.24 ,1/1/2016,6,,,,,
Q0503,,0,20,"$1,198.54 ",1/1/2016,6,,,,,
Q0504,,0,20,$632.41 ,1/1/2016,6,,,,,
Q0507,,0,999,$0.00 ,7/1/2013,5,,,,,
Q0508,,0,999,$0.00 ,7/1/2013,5,,,,,
S8185,,0,999,$44.69 ,9/1/2021,,,,,,
S8189,,0,999,$0.00 ,5/1/2003,5,,,,,
S8270,,5,20,$52.95 ,9/1/2023,6,,,,,
S8999,,0,999,$152.15 ,4/1/2019,,,,,,
