HCPCS Code,Rate
A4638RR,$0.42
A4638UE,$4.07
A4639NU,$192.06
A4639RR,$14.77
A4640NU,$42.34
A4640RR,$3.26
A4640UE,$31.76
A4650,$20.00
A4651,$30.00
A4652,$30.00
A4657,$0.21
A4660,$26.04
A4663,$4.25
A4670,$63.75
A4719,$5.00
A4719NU,$5.00
A4719RR,$0.38
A4719UE,$3.75
A4927,$4.25
A4930,$0.34
A5051,$1.45
A5052,$1.04
A5053,$1.15
A5054,$1.25
A5055,$0.99
A5056,$3.28
A5057,$6.76
A5061,$2.38
A5062,$1.55
A5063,$1.89
A5071,$4.03
A5072,$2.46
A5073,$2.13
A5081,$2.31
A5082,$7.08
A5083,$0.37
A5093,$1.25
A5102,$16.82
A5105,$28.53
A5112,$21.47
A5113,$2.80
A5114,$6.26
A5120,$0.17
A5120AU,$0.15
A5120AV,$0.17
A5121,$4.44
A5122,$7.97
A5126,$0.78
A5131,$10.11
A5200,$7.91
A5500,$56.42
A5501,$169.25
A5503,$27.58
A5504,$27.58
A5505,$27.58
A5506,$27.58
A5507,$27.58
A5512,$23.02
A5513,$34.36
A5514KX,$27.05
A5514NU,$30.75
A5514RR,$3.08
A5514UE,$23.06
A6010,$19.20
A6011,$1.37
A6021,$13.03
A6022,$13.03
A6023,$114.18
A6024,$3.84
A6025,$4.78
A6154,$8.90
A6196,$4.56
A6197,$10.19
A6198,$12.46
A6199,$3.28
A6203,$2.08
A6204,$3.86
A6205,$4.40
A6206,$2.78
A6207,$4.55
A6208,$5.56
A6209,$4.64
A6210,$12.35
A6211,$18.21
A6212,$6.01
A6213,$7.35
A6214,$6.38
A6215,$0.83
A6216,$0.03
A6217,$0.39
A6218,$0.33
A6219,$0.59
A6220,$1.60
A6221,$2.20
A6222,$1.32
A6223,$1.50
A6224,$2.24
A6228,$2.37
A6229,$2.24
A6230,$3.64
A6231,$2.90
A6232,$4.27
A6233,$11.90
A6234,$4.05
A6235,$10.43
A6236,$16.90
A6237,$4.90
A6238,$14.13
A6239,$23.00
A6240,$7.59
A6241,$1.54
A6242,$3.76
A6243,$7.63
A6244,$23.57
A6245,$4.36
A6246,$5.95
A6247,$14.27
A6248,$10.97
A6250,$5.57
A6251,$1.23
A6252,$2.02
A6253,$3.93
A6254,$0.75
A6255,$1.88
A6256,$2.30
A6257,$0.92
A6258,$2.67
A6259,$6.78
A6260,$7.49
A6266,$1.19
A6402,$0.07
A6403,$0.27
A6404,$6.38
A6407,$1.17
A6410,$0.23
A6411,$1.70
A6412,$0.26
A6413,$0.06
A6441,$0.42
A6442,$0.11
A6443,$0.18
A6444,$0.38
A6445,$0.20
A6446,$0.25
A6447,$0.42
A6448,$0.72
A6449,$1.09
A6450,$1.10
A6451,$1.10
A6452,$3.66
A6453,$0.38
A6454,$0.48
A6455,$0.86
A6456,$0.79
A6457,$0.71
A6460NU,$43.92
A6460RR,$4.39
A6460UE,$32.94
A6461NU,$729.62
A6461RR,$72.96
A6461UE,$547.22
A6501,$376.00
A6502,$95.00
A6503,$170.00
A6504,$150.00
A6505,$187.00
A6506,$218.00
A6507,$98.00
A6508,$120.00
A6509,$300.00
A6510,$285.00
A6511,$168.00
A6513,$350.00
A6520,$89.66
A6520RR,$6.90
A6520UE,$67.25
A6521,$355.75
A6521RR,$27.37
A6521UE,$266.81
A6522,$217.85
A6522RR,$16.76
A6522UE,$163.39
A6523,$516.88
A6523RR,$39.76
A6523UE,$387.66
A6524,$271.79
A6524RR,$20.91
A6524UE,$203.84
A6525,$548.70
A6525RR,$42.21
A6525UE,$411.53
A6526,$491.39
A6526RR,$37.80
A6526UE,$368.54
A6527,$903.60
A6527RR,$69.51
A6527UE,$677.70
A6528,$472.50
A6528RR,$36.35
A6528UE,$354.38
A6529,$746.63
A6529RR,$57.43
A6529UE,$559.97
A6530,$34.24
A6531,$50.00
A6531AW,$31.09
A6532,$52.00
A6532AW,$43.80
A6533,$48.08
A6534,$54.90
A6535,$63.21
A6536,$64.81
A6537,$85.00
A6538,$85.00
A6539,$89.00
A6540,$90.00
A6541,$130.00
A6544,$25.00
A6545,$39.17
A6545AW,$61.21
A6550,$24.68
A6552,$41.11
A6552RR,$3.16
A6552UE,$30.83
A6553,$160.51
A6553RR,$12.35
A6553UE,$120.38
A6554,$56.52
A6554RR,$4.35
A6554UE,$42.39
A6555,$160.51
A6555RR,$12.35
A6555UE,$120.38
A6556,$219.97
A6556RR,$16.92
A6556UE,$164.98
A6557,$219.97
A6557RR,$16.92
A6557UE,$164.98
A6558,$227.00
A6558RR,$17.46
A6558UE,$170.25
A6562,$719.91
A6562RR,$55.38
A6562UE,$539.93
A6563,$719.91
A6563RR,$55.38
A6563UE,$539.93
A6564,$775.50
A6564RR,$59.65
A6564UE,$581.63
A6565,$124.40
A6565RR,$9.57
A6565UE,$93.30
A6566,$180.62
A6566RR,$13.89
A6566UE,$135.47
A6567,$567.51
A6567RR,$43.65
A6567UE,$425.63
A6568,$117.88
A6568RR,$9.07
A6568UE,$88.41
A6569,$671.25
A6569RR,$51.63
A6569UE,$503.44
A6570,$80.32
A6570RR,$6.18
A6570UE,$60.24
A6571,$482.72
A6571RR,$37.13
A6571UE,$362.04
A6572,$74.53
A6572RR,$5.73
A6572UE,$55.90
A6573,$176.85
A6573RR,$13.60
A6573UE,$132.64
A6574,$225.46
A6574RR,$17.34
A6574UE,$169.10
A6575,$73.07
A6575RR,$5.62
A6575UE,$54.80
A6576,$138.38
A6576RR,$10.64
A6576UE,$103.79
A6577,$114.53
A6577RR,$8.81
A6577UE,$85.90
A6578,$56.40
A6578RR,$4.34
A6578UE,$42.30
A6579,$222.11
A6579RR,$17.09
A6579UE,$166.58
A6580,$220.47
A6580RR,$16.96
A6580UE,$165.35
